Name,Image,Origin,Description
Bacon,,United Kingdom,"Generally served hot, and often eaten with ketchup or brown sauce"
"Bacon, egg and cheese",,,"A breakfast sandwich, usually fried or scrambled eggs"
Baked bean,,United States,Canned baked beans on white or brown bread. Sometimes butter is also used.
Bánh mì,,Vietnam,"Filling is typically meat, but can contain a wide range of foods, including sardines, tofu, pâté, or eggs. Served on an airy baguette with pickled carrots, cilantro and peppers."
Barbecue,,United States,"Served on a bun, with chopped or sliced meat (pulled pork, beef or chicken typically), and sometimes topped with coleslaw"
Barros Jarpa,,Chile,"Ham and cheese, usually mantecoso, which is similar to farmer cheese"
Barros Luco,,Chile,Beef (usually thin cut steak) and cheese
Bauru,,Brazil,"Melted cheese, roast beef, tomato and pickled cucumber in a hollowed-out French roll"
Beef on weck,,United States,Roast beef on a caraway kaiser roll
BLT,,United States,"Named for its ingredients: bacon, lettuce and tomato"
Bologna sandwich,,United States,"Pre-sliced, sometimes fried bologna sausage between slices of white bread, along with various condiments, such as ketchup, mustard, and mayonnaise."
Bosna,,Austria,"Usually grilled on white bread, containing a bratwurst sausage, onions, and a blend of tomato ketchup, mustard, and curry powder"
Breakfast roll,,United Kingdom and Ireland,"A convenience dish on a variety of bread rolls, containing such breakfast items as sausages, bacon, white or black pudding, mushrooms, tomatoes, hash browns and fried eggs, often eaten with ketchup or brown sauce,"
Breakfast,,United States,"Typically a scrambled or fried egg, cheese, and a sausage patty or other breakfast meat served on a biscuit or English muffin"
British Rail,,United Kingdom,"A dated reference to the poor quality of catering on the now-defunct British Rail, refers to any poor-quality sandwich, often stale."
Broodje kroket,,The Netherlands,A soft bread roll containing a ragout-based croquette. It is often eaten with mustard.
Bun kebab,,Pakistan,"Consists of a spicy patty which is shallow-fried, onions, and chutney or raita in a hamburger or hot dog bun."
Butterbrot,,Germany,"Single, open-faced, containing butter as the common ingredient, with sweet or savory toppings depending on the meal"
Cemita,,Mexico,"Sliced avocado, meat, white cheese, onions and red sauce (salsa roja), on a fluffy sesame-seeded egg roll, originally from the city of Puebla."
Chacarero,,Chile,"Thinly sliced churrasco-style steak, or lomito-style pork, with tomatoes, green beans and green chiles, served on a round roll"
Cheese,,,"In the United States it is usually made with American cheese, and often served toasted alongside tomato soup or with sliced tomato inside. When toasted (pictured), it is commonly referred to as a ""grilled cheese sandwich""."
Cheese and pickle,,United Kingdom,"Slices of cheese (typically Cheddar) and pickle (a sweet, vinegary chutney with the most popular brand being Branston), sandwiched between two slices of bread."
